source,target,weight,examples
Lesley Groff,Robert Kuhn,3,Kuhn - The Science of Sleep and Dreams | Fwd: Kuhn - Radical Breakthroughs | Fwd: Kuhn - Radical Breakthroughs
Robert Kuhn,Robert Lawrence Kuhn,16,Kuhn - The Science of Sleep and Dreams | Kuhn - Breakthroughs (and Trump) | Re: Kuhn - Breakthroughs (and Trump)
Brett Jaffe,Ghislaine Maxwell,14,Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell
Brett Jaffe,Jay Lefkowitz,2,Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell
Brett Jaffe,Mark Cohen,15,Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell
Brett Jaffe,Martin Weinberg,2,Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell
Ghislaine Maxwell,Jay Lefkowitz,3,Fwd: FW: Ghislaine Maxwell | Fwd: Fw: | Fwd: FW: Ghislaine Maxwell
Ghislaine Maxwell,Mark Cohen,18,Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell
Ghislaine Maxwell,Martin Weinberg,3,Fwd: FW: Ghislaine Maxwell | Fwd: Fw: | Fwd: FW: Ghislaine Maxwell
Jay Lefkowitz,Mark Cohen,2,Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell
Jay Lefkowitz,Martin Weinberg,4,Fwd: FW: Ghislaine Maxwell | Fwd: Fw: | Re: Epstein agreement as reviewed by the U.S. Attorney
Mark Cohen,Martin Weinberg,2,Fwd: FW: Ghislaine Maxwell | Fwd: FW: Ghislaine Maxwell
Lesley Groff,Mark Green,4,"Fwd: 1st Anniversary show today -- Both Sides Now w/ Huffington & Matalin | Fwd: ""Both Sides Now w/ Huffington & Matalin"" | Fwd: 1st Anniversary show today -- Both Sides Now w/ Huffington & Matalin"
Christina Galbraith,Tyler Shears,14,Re: Shears Update | Fwd: Google Alert - Jeffrey Epstein | Re: boosting strategy
Charles Michael,Darren Indyke,18,Privileged and Confidential - Fwd: JAMES PATTERSON NEW BOOK TELLING FEDS COVER U | PRIVILEGED AND CONFIDENTIAL - Fwd: JAMES PATTERSON NEW BOOK TELLING FEDS COVER U | RE: Privileged and Confidential - Fwd: JAMES PATTERSON NEW BOOK TELLING FEDS COV
Charles Michael,Michael Wolff,8,Privileged and Confidential - Fwd: JAMES PATTERSON NEW BOOK TELLING FEDS COVER U | FW: Privileged and Confidential - Fwd: JAMES PATTERSON NEW BOOK TELLING FEDS COV | RE: Privileged and Confidential - Fwd: JAMES PATTERSON NEW BOOK TELLING FEDS COV
Darren Indyke,Michael Wolff,16,Privileged and Confidential - Fwd: JAMES PATTERSON NEW BOOK TELLING FEDS COVER U | Patterson | Fwd: Trump
Darren Indyke,Kathy Ruemmler,28,Patterson | Fwd: The book on you... | Fwd: Trump
Darren Indyke,Martin Weinberg,36,Patterson | ATTORNEY-CLIENT PRIVILEGE | Acosta plea deal in Epstein sex case defended by former aide I Miami Herald
Kathy Ruemmler,Martin Weinberg,32,Patterson | Fwd: Fw: Fwd: Mr. Clinton and Mr. Epstein | ATTORNEY-CLIENT PRIVILEGE
Kathy Ruemmler,Michael Wolff,25,Patterson | Fwd: Trump | ATTORNEY-CLIENT PRIVILEGE
Martin Weinberg,Michael Wolff,12,Patterson | ATTORNEY-CLIENT PRIVILEGE | Re: Reuters / lawsuit against Jeffrey Epstein
Ed Thompson,Faith Kates,4,Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING
Ed Thompson,John Connolly,4,Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING
Ed Thompson,Joseph Bernstein,3,Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING
Ed Thompson,Morad Tahbaz,3,Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING
Ed Thompson,Ralph Bernstein,3,Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING
Faith Kates,John Connolly,4,Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING
Faith Kates,Joseph Bernstein,3,Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING
Faith Kates,Morad Tahbaz,3,Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING | Fwd: Public work vs private AMAZING
